theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
2.999999999999999889e-02,-3.122064196025023386e-03,-7.862766539120471555e-04,5.532898432127556464e-03,5.545070323762430094e-03,-1.387778780781445676e-17,0.000000000000000000e+00
3.250000000000000111e-02,-3.168688669534492752e-03,-8.100382729108170045e-04,5.532478806256335528e-03,5.545438481886286707e-03,1.387778780781445676e-17,0.000000000000000000e+00
3.500000000000000333e-02,-3.214796457035534218e-03,-8.336236676291676863e-04,5.532068844274862923e-03,5.545800863860456294e-03,-1.387778780781445676e-17,0.000000000000000000e+00
3.750000000000000555e-02,-3.260381793883204097e-03,-8.570355835969302449e-04,5.531668521658475099e-03,5.546157513243011802e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.999999999999998002e-02,-3.305439005565916945e-03,-8.802767927054703156e-04,5.531277813027676675e-03,5.546508473888017710e-03,1.387778780781445676e-17,0.000000000000000000e+00
4.249999999999998224e-02,-3.349962507149124077e-03,-9.033500914238303415e-04,5.530896692417054672e-03,5.546853789673327623e-03,5.551115123125782702e-17,0.000000000000000000e+00
4.499999999999998446e-02,-3.393946802690558234e-03,-9.262582990018501964e-04,5.530525133540705948e-03,5.547193504232173118e-03,1.387778780781445676e-17,0.000000000000000000e+00
4.749999999999998668e-02,-3.437386484628369727e-03,-9.490042556610881483e-04,5.530163110053565485e-03,5.547527660689158778e-03,1.387778780781445676e-17,0.000000000000000000e+00
4.999999999999998890e-02,-3.480276233143230879e-03,-9.715908207745386528e-04,5.529810595808048318e-03,5.547856301401215065e-03,-1.387778780781445676e-17,0.000000000000000000e+00
5.249999999999999112e-02,-3.522610815495626126e-03,-9.940208710359514557e-04,5.529467565105396221e-03,5.548179467704106652e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.499999999999999334e-02,-3.564385085339529489e-03,-1.016297298619647880e-03,5.529133992941165365e-03,5.548497199665054780e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.749999999999999556e-02,-3.605593982013648169e-03,-1.038423009331850087e-03,5.528809855244249533e-03,5.548809535842016624e-03,1.387778780781445676e-17,0.000000000000000000e+00
5.999999999999999778e-02,-3.646232529811528535e-03,-1.060400920754317163e-03,5.528495129108911520e-03,5.549116513050187174e-03,1.387778780781445676e-17,0.000000000000000000e+00
6.250000000000000000e-02,-3.686295837231618692e-03,-1.082233960381249506e-03,5.528189793019245082e-03,5.549418166136227577e-03,4.163336342344337027e-17,0.000000000000000000e+00
6.500000000000000222e-02,-3.725779096208656303e-03,-1.103925063750427421e-03,5.527893827065549597e-03,5.549714527760748160e-03,-1.387778780781445676e-17,0.000000000000000000e+00
6.750000000000000444e-02,-3.764677581327521404e-03,-1.125477172569443922e-03,5.527607213152096154e-03,5.550005628189551808e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,-3.802986649020874757e-03,-1.146893232837989949e-03,5.527329935195772481e-03,5.550291495094102599e-03,-2.775557561562891351e-17,0.000000000000000000e+00
7.250000000000000888e-02,-3.840701736751760045e-03,-1.168176192967160850e-03,5.527061979315135709e-03,5.550572153361715833e-03,1.387778780781445676e-17,0.000000000000000000e+00
7.500000000000001110e-02,-3.877818362182467067e-03,-1.189329001896642602e-03,5.526803334009395934e-03,5.550847624915874502e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000001332e-02,-3.914332122330903621e-03,-1.210354607210810353e-03,5.526553990326888224e-03,5.551117928547150138e-03,-1.387778780781445676e-17,0.000000000000000000e+00
8.000000000000001554e-02,-3.950238692715732011e-03,-1.231255953254598414e-03,5.526313942022608068e-03,5.551383079755095769e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000001776e-02,-3.985533826491477992e-03,-1.252035979250135924e-03,5.526083185704404321e-03,5.551643090601525617e-03,-1.387778780781445676e-17,0.000000000000000000e+00
8.500000000000001998e-02,-4.020213353574960020e-03,-1.272697617415075814e-03,5.525861720967448036e-03,5.551897969575531055e-03,-1.387778780781445676e-17,0.000000000000000000e+00
8.750000000000002220e-02,-4.054273179764223203e-03,-1.293243791083555343e-03,5.525649550516614598e-03,5.552147721470579791e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999996891e-02,-4.087709285851202218e-03,-1.313677412830750128e-03,5.525446680276467799e-03,5.552392347274012242e-03,-1.387778780781445676e-17,0.000000000000000000e+00
9.249999999999997113e-02,-4.120517726729470628e-03,-1.334001382601913933e-03,5.525253119488494555e-03,5.552631844069252573e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999997335e-02,-4.152694630498202435e-03,-1.354218585846961136e-03,5.525068880795357823e-03,5.552866204950959034e-03,-1.387778780781445676e-17,0.000000000000000000e+00
9.749999999999997558e-02,-4.184236197563631285e-03,-1.374331891661388074e-03,5.524893980311866744e-03,5.553095418953398962e-03,-1.387778780781445676e-17,0.000000000000000000e+00
