theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-9.000000000000001055e-02,1.956226986135047724e-02,3.710623010973473999e-03,4.968572206410821687e-03,5.027522749039835780e-03,1.729062678628598415e-02,0.000000000000000000e+00
-8.750000000000000833e-02,1.893332492875650364e-02,3.759264026535721979e-03,4.967210428082464990e-03,5.025356727463885925e-03,1.671206366044794556e-02,0.000000000000000000e+00
-8.500000000000000611e-02,1.830897465531006879e-02,3.807232707002965091e-03,4.965890355523614602e-03,5.023219103538800571e-03,1.613851837489230223e-02,0.000000000000000000e+00
-8.250000000000000389e-02,1.768929017663359998e-02,3.854525981264327310e-03,4.964611290519982054e-03,5.021111435987577615e-03,1.557005377374259814e-02,0.000000000000000000e+00
-8.000000000000001554e-02,1.707434154801415471e-02,3.901141027976041519e-03,4.963372550810178467e-03,5.019035259437872043e-03,1.500673150261652711e-02,0.000000000000000000e+00
-7.750000000000001332e-02,1.646419774190098842e-02,3.947075280018121947e-03,4.962173470314136872e-03,5.016992083806418902e-03,1.444861200226082998e-02,0.000000000000000000e+00
-7.500000000000001110e-02,1.585892664565500751e-02,3.992326428819310824e-03,4.961013399321900427e-03,5.014983393718325071e-03,1.389575450254118549e-02,0.000000000000000000e+00
-7.250000000000000888e-02,1.525859505953746156e-02,4.036892428538696974e-03,4.959891704644730712e-03,5.013010647959896711e-03,1.334821701678776118e-02,0.000000000000000000e+00
-7.000000000000000666e-02,1.466326869492559810e-02,4.080771500092688145e-03,4.958807769730506736e-03,5.011075278963591194e-03,1.280605633649761765e-02,0.000000000000000000e+00
-6.750000000000000444e-02,1.407301217274308305e-02,4.123962135016231816e-03,4.957760994745457304e-03,5.009178692323671030e-03,1.226932802639410514e-02,0.000000000000000000e+00
-6.500000000000000222e-02,1.348788902209337691e-02,4.166463099147488421e-03,4.956750796624311006e-03,5.007322266341103500e-03,1.173808641984569467e-02,0.000000000000000000e+00
-6.250000000000000000e-02,1.290796167908427917e-02,4.208273436125403374e-03,4.955776609090936820e-03,5.005507351596174236e-03,1.121238461464094116e-02,0.000000000000000000e+00
-5.999999999999999778e-02,1.233329148583245903e-02,4.249392470689993331e-03,4.954837882651618591e-03,5.003735270547338479e-03,1.069227446912598967e-02,0.000000000000000000e+00
-5.749999999999999556e-02,1.176393868963673817e-02,4.289819811775471767e-03,4.953934084563080611e-03,5.002007317154725380e-03,1.017780659870046178e-02,0.000000000000000000e+00
-5.500000000000002109e-02,1.119996244230946070e-02,4.329555355386722343e-03,4.953064698777393665e-03,5.000324756526813852e-03,9.669030372673803608e-03,0.000000000000000000e+00
-5.250000000000001887e-02,1.064142079965546377e-02,4.368599287249981533e-03,4.952229225865896999e-03,4.998688824588678851e-03,9.165993911483316658e-03,0.000000000000000000e+00
-5.000000000000001665e-02,1.008837072108863427e-02,4.406952085228931122e-03,4.951427182924220474e-03,4.997100727770339632e-03,8.668744084272511641e-03,0.000000000000000000e+00
-4.750000000000001443e-02,9.540868069376257435e-03,4.444614521498016155e-03,4.950658103460514603e-03,4.995561642713653924e-03,8.177326506832005570e-03,0.000000000000000000e+00
-4.500000000000001221e-02,8.998967610501789824e-03,4.481587664464925340e-03,4.949921537268912007e-03,4.994072715996279201e-03,7.691785539900686253e-03,0.000000000000000000e+00
-4.250000000000000999e-02,8.462723013637221681e-03,4.517872880434884754e-03,4.949217050290248207e-03,4.992635063871262921e-03,7.212164287830336029e-03,0.000000000000000000e+00
-4.000000000000000777e-02,7.932186851216308301e-03,4.553471835009727936e-03,4.948544224461988959e-03,4.991249772020823691e-03,6.738504597609079605e-03,0.000000000000000000e+00
-3.750000000000000555e-02,7.407410599100599548e-03,4.588386494215174714e-03,4.947902657559255860e-03,4.989917895322958097e-03,6.270847058248846251e-03,0.000000000000000000e+00
-3.500000000000000333e-02,6.888444636830546274e-03,4.622619125350351313e-03,4.947291963028808970e-03,4.988640457629553090e-03,5.809231000533043865e-03,0.000000000000000000e+00
-3.250000000000000111e-02,6.375338247954315425e-03,4.656172297553886133e-03,4.946711769817733334e-03,4.987418451554761004e-03,5.353694497123112628e-03,0.000000000000000000e+00
-2.999999999999999889e-02,5.868139620427532781e-03,4.689048882081593012e-03,4.946161722198509463e-03,4.986252838272415937e-03,4.904274363028038319e-03,0.000000000000000000e+00
-2.749999999999999667e-02,5.366895847077466329e-03,4.721252052291190909e-03,4.945641479592094089e-03,4.985144547321400388e-03,4.461006156431107650e-03,0.000000000000000000e+00
-2.499999999999999445e-02,4.871652926125694116e-03,4.752785283329956541e-03,4.945150716390504797e-03,4.984094476417900467e-03,4.023924179875626450e-03,0.000000000000000000e+00
-2.250000000000001998e-02,4.382455761763826875e-03,4.783652351521909887e-03,4.944689121780319711e-03,4.983103491273605141e-03,3.593061481809517455e-03,0.000000000000000000e+00
-2.000000000000001776e-02,3.899348164777060883e-03,4.813857333451480348e-03,4.944256399568427995e-03,4.982172425418961333e-03,3.168449858484051473e-03,0.000000000000000000e+00
-1.750000000000001554e-02,3.422372853211195186e-03,4.843404604741199763e-03,4.943852268011226375e-03,4.981302080030725922e-03,2.750119856210375691e-03,0.000000000000000000e+00
-1.500000000000001332e-02,2.951571453078813238e-03,4.872298838521613856e-03,4.943476459648372782e-03,4.980493223763108636e-03,2.338100773967982660e-03,0.000000000000000000e+00
-1.250000000000001110e-02,2.486984499101045024e-03,4.900545003591930647e-03,4.943128721142075500e-03,4.979746592581946359e-03,1.932420666366618800e-03,0.000000000000000000e+00
-1.000000000000000888e-02,2.028651435481767205e-03,4.928148362270637350e-03,4.942808813122822470e-03,4.979062889601399734e-03,1.533106346958801325e-03,0.000000000000000000e+00
-7.500000000000006661e-03,1.576610616711400905e-03,4.955114467935867184e-03,4.942516510042275005e-03,4.978442784922807764e-03,1.140183391899973753e-03,0.000000000000000000e+00
-5.000000000000004441e-03,1.130899308398191630e-03,4.981449162255610630e-03,4.942251600033996384e-03,4.977886915475431516e-03,7.536761439572714494e-04,0.000000000000000000e+00
