theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-7.750000000000001332e-02,1.221533935705524515e-02,-1.982739583615801202e-02,5.204222225990541052e-03,4.838111180449626569e-03,4.655927234890944177e-03,-1.384530105022580004e-02
-7.500000000000001110e-02,1.211124536269269150e-02,-1.925838077318141675e-02,5.202745548561720293e-03,4.837607507597283495e-03,4.530770654397886510e-03,-1.328816064787910478e-02
-7.250000000000000888e-02,1.200461818607815104e-02,-1.869636950775442619e-02,5.201260762846235050e-03,4.837169596445997297e-03,4.403425268148714045e-03,-1.273816538258945585e-02
-7.000000000000000666e-02,1.189551107079657791e-02,-1.814139191006729213e-02,5.199769351738033583e-03,4.836796617529693157e-03,4.273943699710194832e-03,-1.219534715520548263e-02
-6.750000000000000444e-02,1.178397751991555956e-02,-1.759347651541436422e-02,5.198272807474988225e-03,4.836487717208572470e-03,4.142378834334783932e-03,-1.165973659197366841e-02
-6.500000000000000222e-02,1.167007127418686827e-02,-1.705265052521785785e-02,5.196772629875594934e-03,4.836242019494534604e-03,4.008783800950155296e-03,-1.113136304471390448e-02
-6.250000000000000000e-02,1.155384629021546233e-02,-1.651893980854481428e-02,5.195270324562160230e-03,4.836058627894338803e-03,3.873211954139491042e-03,-1.061025459132233784e-02
-5.999999999999999778e-02,1.143535671860861948e-02,-1.599236890411869644e-02,5.193767401175703943e-03,4.835936627264175378e-03,3.735716856111667705e-03,-1.009643803659951433e-02
-5.749999999999999556e-02,1.131465688211811052e-02,-1.547296102282661942e-02,5.192265371587710850e-03,4.835875085669386411e-03,3.596352258670568180e-03,-9.589938913408563304e-03
-5.500000000000002109e-02,1.119180125378832491e-02,-1.496073805072269634e-02,5.190765748113935346e-03,4.835873056243142169e-03,3.455172085185295727e-03,-9.090781484164506265e-03
-5.250000000000001887e-02,1.106684443512354586e-02,-1.445572055252752723e-02,5.189270041735334106e-03,4.835929579038003405e-03,3.312230412568520355e-03,-8.598988742654911643e-03
-5.000000000000001665e-02,1.093984113428748441e-02,-1.395792777562361933e-02,5.187779760331163482e-03,4.836043682864418596e-03,3.167581453267814817e-03,-8.114582416195753600e-03
-4.750000000000001443e-02,1.081084614434844361e-02,-1.346737765454585067e-02,5.186296406929169142e-03,4.836214387110396827e-03,3.021279537273643956e-03,-7.637582968122225147e-03
-4.500000000000001221e-02,1.067991432158341830e-02,-1.298408681596565674e-02,5.184821477977656634e-03,4.836440703536793069e-03,2.873379094152195279e-03,-7.168009600615254939e-03
-4.250000000000000999e-02,1.054710056385456222e-02,-1.250807058416736513e-02,5.183356461644095421e-03,4.836721638042842074e-03,2.723934635108463120e-03,-6.705880257868085392e-03
-4.000000000000000777e-02,1.041245978907140782e-02,-1.203934298701443001e-02,5.181902836144725022e-03,4.837056192396859897e-03,2.573000735082334178e-03,-6.251211629589747965e-03
-3.750000000000000555e-02,1.027604691375237113e-02,-1.157791676240297989e-02,5.180462068109472316e-03,4.837443365927277493e-03,2.420632014888346450e-03,-5.804019154849654472e-03
-3.500000000000000333e-02,1.013791683169889754e-02,-1.112380336519958567e-02,5.179035610986225391e-03,4.837882157169442338e-03,2.266883123402688160e-03,-5.364317026262527266e-03
-3.250000000000000111e-02,9.998124392795657706e-03,-1.067701297465972060e-02,5.177624903488347100e-03,4.838371565463992635e-03,2.111808719803903722e-03,-4.932118194514417686e-03
-2.999999999999999889e-02,9.856724381950284636e-03,-1.023755450232295174e-02,5.176231368089001875e-03,4.838910592502842882e-03,1.955463455875092182e-03,-4.507434373231727909e-03
-2.749999999999999667e-02,9.713771498185799422e-03,-9.805435600380402877e-03,5.174856409565688903e-03,4.839498243819224596e-03,1.797901958372941089e-03,-4.090276044189711246e-03
-2.499999999999999445e-02,9.569320333899072537e-03,-9.380662670509591974e-03,5.173501413598026108e-03,4.840133530218539148e-03,1.639178811470520802e-03,-3.680652462866196295e-03
-2.250000000000001998e-02,9.423425354298443912e-03,-8.963240873171336373e-03,5.172167745421607336e-03,4.840815469147127445e-03,1.479348539283123487e-03,-3.278571664335122593e-03
-2.000000000000001776e-02,9.276140877033474050e-03,-8.553174137362938925e-03,5.170856748540449827e-03,4.841543085996438504e-03,1.318465588479117434e-03,-2.884040469502219262e-03
-1.750000000000001554e-02,9.127521052029788015e-03,-8.150465170821482794e-03,5.169569743500235931e-03,4.842315415340427663e-03,1.156584310989888786e-03,-2.497064491682937648e-03
-1.500000000000001332e-02,8.977619841541713969e-03,-7.755115470670520712e-03,5.168308026724282439e-03,4.843131502104387233e-03,9.937589468176633023e-04,-2.117648143518807702e-03
-1.250000000000001110e-02,8.826491000435327666e-03,-7.367125334503152150e-03,5.167072869413829976e-03,4.843990402663768055e-03,8.300436069579031351e-04,-1.745794644235687532e-03
-1.000000000000000888e-02,8.674188056714294062e-03,-6.986493871894043813e-03,5.165865516513990820e-03,4.844891185871922495e-03,6.654922564343218605e-04,-1.381506027237827672e-03
-7.500000000000006661e-03,8.520764292300709794e-03,-6.613219016332434579e-03,5.164687185746315301e-03,4.845832934016047235e-03,5.001586974614918857e-04,-1.024783148040026015e-03
-5.000000000000004441e-03,8.366272724082930018e-03,-6.247297537567841549e-03,5.163539066708704509e-03,4.846814743700951153e-03,3.340965527382222522e-04,-6.756256925354586773e-04
-2.500000000000002220e-03,8.210766085242191328e-03,-5.888725054359930655e-03,5.162422320043056137e-03,4.847835726660634434e-03,1.673592488802971845e-04,-3.340321855953565233e-04
0.000000000000000000e+00,8.054296806869497283e-03,-5.537496047623303129e-03,5.161338076670729351e-03,4.848895010497959041e-03,0.000000000000000000e+00,2.775557561562891351e-17
2.500000000000002220e-03,7.896916999884030092e-03,-5.193603873957907541e-03,5.160287437095667333e-03,4.849991739353048947e-03,-1.679282085581684791e-04,3.264746343000224371e-04
5.000000000000004441e-03,7.738678437264162081e-03,-4.857040779555309162e-03,5.159271470774687458e-03,4.851125074501346467e-03,-3.363726363224406324e-04,6.453966205997863081e-04
7.500000000000006661e-03,7.579632536601650476e-03,-4.527797914470562714e-03,5.158291215554214847e-03,4.852294194882518161e-03,-5.052808036260098001e-04,9.567719855291811903e-04
9.999999999999981126e-03,7.419830342989490631e-03,-4.205865347249421529e-03,5.157347677172460960e-03,4.853498297561732559e-03,-6.746005073646199612e-04,1.260607868826174593e-03
1.249999999999998335e-02,7.259322512253547216e-03,-3.891232079899923594e-03,5.156441828825810390e-03,4.854736598125029660e-03,-8.442798365676795758e-04,1.556912512790720182e-03
1.499999999999998557e-02,7.098159294537652667e-03,-3.583886063197409648e-03,5.155574610797940445e-03,4.856008331010775413e-03,-1.014267187777875834e-03,1.845695251427220684e-03
1.749999999999998779e-02,6.936390518251673090e-03,-3.283814212311505099e-03,5.154746930149984793e-03,4.857312749779412082e-03,-1.184511280230518548e-03,2.126966499278903910e-03
1.999999999999999001e-02,6.774065574391579560e-03,-2.991002422743486468e-03,5.153959660469858116e-03,4.858649127323887151e-03,-1.354961170827131967e-03,2.400737739956970707e-03
2.249999999999999223e-02,6.611233401240325901e-03,-2.705435586562002486e-03,5.153213641678677445e-03,4.860016756023357622e-03,-1.525566268892664112e-03,2.667021514370038204e-03
2.499999999999999445e-02,6.447942469457756433e-03,-2.427097608925132561e-03,5.152509679892018982e-03,4.861414947842907126e-03,-1.696276350712969117e-03,2.925831408658791100e-03
